name,follower_count,gender,sum(voteup_count),expertivity
王赟 Maigo,75617,1,349,1.870415867
米亚小陈陈,9,0,1,-0.10239275699999999
萧叶,1,-1,8,-0.10260149800000001
龙鹏-言有三,11051,1,984,0.185721633
sunjiarui,3,-1,3,-0.102549313
知乎用户,6178,1,87,0.058572437000000005
莫小龙,650,1,33,-0.085667406
田昊,44,1,0,-0.10147951699999999
myazi,20,-1,0,-0.102105739
Liu Ruijin,74,1,56,-0.10069673900000001
张戎,31331,1,757,0.71487938
西门吹牛,27,1,1,-0.101923091
绰绰,0,-1,1,-0.10262759099999999
Arvif,318,0,0,-0.09433014699999999
none2011for,149,0,1,-0.098739795
知乎用户,835,1,7,-0.080840277
知乎用户,631,1,35,-0.086163166
紫电,31,1,6,-0.10181872
烟九风,50,1,1,-0.101322961
cw1427,9,1,1,-0.10239275699999999
tabsun,32,1,0,-0.10179262800000001
知乎用户,304,1,173,-0.094695443
知乎用户,96,1,5,-0.100122702
Jerry,4,-1,2,-0.10252322
唐立,14,1,0,-0.102262294
知乎用户,306,1,0,-0.09464325800000001
吴月,86,1,5,-0.100383628
张鹏羽,6,1,1,-0.102471035
知乎用户,167,1,2,-0.09827012800000001
杨涛,1,-1,0,-0.10260149800000001
风无名,168,1,0,-0.098244035
劳逆,376,1,14,-0.09281677599999999
sunny,0,-1,1,-0.10262759099999999
武侠超人,557,1,1,-0.088094017
叶杰生,23,1,19,-0.102027461
知乎用户,317,1,7,-0.09435623900000001
EddyLiu,973,1,12,-0.0772395
知乎用户,41,1,5,-0.101557794
我的上铺叫路遥,791,1,6,-0.081988351
历年,48,1,7,-0.101375146
辣椒面,105,1,8,-0.099887869
algeralger,46,-1,0,-0.101427331
Linglai Li,1121,1,70,-0.073377796
知乎用户,59,1,32,-0.10108812800000001
郭文龙,10,1,10,-0.102366665
萧江丽,0,-1,0,-0.10262759099999999
陈某某,94,1,0,-0.10017488699999999
Miruku Zhang,4333,1,44,0.010431606
pita,1,-1,0,-0.10260149800000001
王坚,166,1,20,-0.098296221
向生,0,1,0,-0.10262759099999999
ati att,74,1,1,-0.10069673900000001
赵丽丽,964,0,26,-0.07747433299999999
知乎用户,483,1,38,-0.09002486900000001
S Maigo,134,1,4,-0.09913118300000001
知乎用户,133,1,2,-0.099157276
知乎用户,447,1,0,-0.090964202
浩彬老撕,1415,1,11,-0.065706574
言施,57,1,5,-0.10114031300000001
Lion,31,-1,0,-0.10181872
袁又袁,53,1,3,-0.101244683
skychen,21,1,9,-0.102079646
R2ai帮助创造AI的AI,49,-1,2,-0.10134905400000001
新北方大爷,1,-1,0,-0.10260149800000001
Vinjn张静,20308,1,50,0.42726074799999997
知乎用户,4,1,0,-0.10252322
雯雯sapphire,391,0,9,-0.09242538800000001
唐学伟,595,1,36,-0.087102499
杨晓堃,988,1,3,-0.076848111
zhou,6,-1,0,-0.102471035
烧遍天下有情人,137,0,1,-0.099052906
gygigi khgjkbj,2105,1,28,-0.047702685999999994
芒日木,6,0,0,-0.102471035
Los Lu,8,1,11,-0.10241885
刘凯,0,1,1,-0.10262759099999999
星海夜空,0,-1,8,-0.10262759099999999
知乎用户,20,1,11,-0.102105739
yzlicon,0,-1,0,-0.10262759099999999
Sherlock,4119,1,892,0.004847792
黄迪,10,1,50,-0.102366665
艾玛苏,44,0,10,-0.10147951699999999
柳凌峰,238,1,0,-0.096417554
abelHe,2,1,0,-0.102575405
500miles,254,0,0,-0.09600007199999999
1.23E+14,169,1,48,-0.098217943
知乎用户,9,1,1,-0.10239275699999999
王康,7,1,3,-0.102444942
蔡劲,58,-1,0,-0.10111422
余悦,148,1,7,-0.098765887
知乎用户,162,1,20,-0.098400591
随变,8,1,0,-0.10241885
Shu Matt,241,1,43,-0.096339276
知乎用户,96,1,0,-0.100122702
李泽政,70,1,2,-0.100801109
qk她说,11,0,0,-0.10234057199999999
Prince,41,1,4,-0.101557794
乾元智藏,62,-1,0,-0.10100985
非芃,5,0,4,-0.102497128
吴逸鸣,2794,1,712,-0.029724891
Haozhi Qi,7737,1,89,0.099250786
文龙,1,-1,0,-0.10260149800000001
舞蹈的链,40,0,0,-0.101583887
知乎用户,2,1,10,-0.102575405
Rand Xie,699,1,0,-0.084388869
刘彦锋,1094,1,26,-0.07408229599999999
叶不修,58,1,33,-0.10111422
Wawawater,432,1,34,-0.091355591
子生,212,1,3,-0.097095961
臧痹细,0,-1,0,-0.10262759099999999
叶晓月,62,1,2,-0.10100985
绫波limbo,608,0,0,-0.086763295
知乎用户,1401,1,3,-0.06607187099999999
壮如山,9,0,0,-0.10239275699999999
安宁,84,0,8,-0.10043581300000001
无觅,374,1,5,-0.092868962
高湛淇,5,1,4,-0.102497128
知乎用户,26052,1,23,0.577136592
科技小捕快,7996,1,25,0.10600876699999999
掘墓,0,1,1,-0.10262759099999999
邓妍,68345,0,27,1.680670545
kksw,16,1,6,-0.10221010900000001
晓懵,1046,0,174,-0.07533474
郭鸿渐,16294,1,979,0.322525088
nan hu,1178,1,1,-0.071890518
猪皮一样,0,-1,1,-0.10262759099999999
知乎用户,153,1,16,-0.098635424
smile,0,0,0,-0.10262759099999999
佐菲奥特曼,2,0,2,-0.102575405
陈先生,97,1,0,-0.100096609
笑看苍穹,5,1,1,-0.102497128
知乎用户,26,1,2,-0.10194918300000001
高英泽,3321,1,2,-0.015974096
朱军,40,1,3,-0.101583887
知乎用户,138,1,9,-0.099026813
Xf Mao,2712,1,193,-0.031864484
天天去种田,85,1,10,-0.10040972
South,3,-1,5,-0.102549313
张荣,20,1,0,-0.102105739
liu li,1,-1,2,-0.10260149800000001
番茄男,102,1,11,-0.09996614599999999
京京和媛媛,12,-1,4,-0.10231448
郑梓豪,4178,1,89,0.006387255
泡泡龙,5,0,7,-0.102497128
杨帆鑫,0,-1,0,-0.10262759099999999
好销量,10,1,8,-0.102366665
Anabas,59,1,1,-0.10108812800000001
知乎用户,1394,1,6,-0.066254519
孙玄,1800,1,4,-0.055660927
kemono,3307,1,20,-0.016339392
张杰,429,1,17,-0.091433869
亣大帝,0,0,0,-0.10262759099999999
Cora,10,0,0,-0.102366665
知乎用户,1763,1,23,-0.056626353
鹿薇,2375,-1,0,-0.040657687000000005
DZZZ,65,1,0,-0.100931572
铁马冰河入梦来,280,1,38,-0.095321665
知乎用户,660,0,0,-0.08540648099999999
风吹啊吹啊吹,22,1,0,-0.102053554
曳雨,1116,1,37,-0.073508259
知乎用户,1326,1,4,-0.068028815
知乎用户,599,1,18,-0.08699812900000001
Pelhans,1093,1,1,-0.07410838900000001
疯死沃,20659,1,85,0.436419248
浪迹天涯,0,-1,0,-0.10262759099999999
不努力一下子,591,1,7,-0.087206869
知乎用户,4,1,16,-0.10252322
黄哥,23301,1,9,0.505355874
thkyou,2,1,3,-0.102575405
知乎用户,20,1,0,-0.102105739
缪嘉嘉,10,1,0,-0.102366665
mwcc,721,1,1,-0.083814832
YY硕,44728,1,822,1.064441822
呓人61,2954,0,14,-0.025550077
郁也风,176,1,2,-0.098035295
晴转多云,1600,1,9,-0.060879445
知乎用户,99,1,1,-0.100044424
毛帅,1271,1,0,-0.069463907
猴猴,17,1,0,-0.10218401699999999
知乎用户,22,1,0,-0.102053554
蔡超,52,1,0,-0.10127077599999999
小白,0,-1,0,-0.10262759099999999
旺代,7,1,6,-0.102444942
张三,9,1,1,-0.10239275699999999
知乎用户,533,1,1,-0.08872024
Ivan,14,1,2,-0.102262294
Andy Denker,1091,1,0,-0.074160574
知乎用户,44532,1,62,1.0593276740000002
熊乃,12,1,25,-0.10231448
Angus,61,1,2,-0.101035943
张啊哈,8,1,4,-0.10241885
张俊林,7662,1,14,0.09729384199999999
简枫,898,1,31,-0.079196444
蔡逊,77,1,7,-0.10061846099999999
知乎用户,25,-1,0,-0.10197527599999999
ash692,0,0,2,-0.10262759099999999
Max,3,-1,0,-0.102549313
HarryYang,135,1,8,-0.09910509099999999
川流不息,78,1,12,-0.100592369
知乎用户,379,1,5,-0.092738499
刘昌睿,2026,1,0,-0.049764000999999995
Angzz,11,-1,0,-0.10234057199999999
谢兆厅,0,-1,2,-0.10262759099999999
知乎用户,4171,0,243,0.006204606999999999
知乎用户,11,1,5,-0.10234057199999999
靳凯,170,1,14,-0.09819185
xindatong2011,1,-1,0,-0.10260149800000001
Lucas up,67,1,0,-0.10087938699999999
知乎用户,17167,1,231,0.34530392
贰君,154,0,646,-0.098609332
zeke,34,0,18,-0.10174044300000001
图图,1,0,2,-0.10260149800000001
酸酸大大,0,-1,1,-0.10262759099999999
Bowen,55,1,7,-0.101192498
Jifeng Dai,2416,-1,5,-0.039587891
知乎用户,48,1,0,-0.101375146
摸鱼专家,70,1,0,-0.100801109
Ynng11626,2,0,0,-0.102575405
知乎用户,3,-1,6,-0.102549313
zzitaI,166,1,27,-0.098296221
陈狄,715,1,1,-0.08397138800000001
矢之,3,1,1,-0.102549313
游走,4,-1,23,-0.10252322
林超,273,1,3,-0.09550431300000001
嚴-kiki,89,1,3,-0.10030535
知乎用户,690,1,2,-0.08462370300000001
赵锐卿,26,1,6,-0.10194918300000001
蒋甬杭,515,1,26,-0.089189906
知乎用户,499,1,1,-0.08960738800000001
京冀遨游的龙,15,1,8,-0.102236202
风吟,6,1,0,-0.102471035
